rho e p
0.0002506 0.2350152707977294 0.0004704251936035156
0.0002572 0.2411323769226074 0.00048719790394592287
0.007360000000000002 6.921879641545217 0.009742068748373578
0.0128 12.047281307852009 0.017877334101379656
0.01824 17.177013729513966 0.030232513244457714
0.02368 22.311275902616647 0.048495064368562144
0.02912 27.45048581445731 0.07345562052286117
0.03456 32.59499324276283 0.1052434906530354
0.04 37.74502383364655 0.143573265877835
0.04544 42.900686420183725 0.1879428162432163
0.05088 48.061997710679954 0.2377725829659613
0.05632 53.228908498321005 0.292488483500354
0.06176 58.40132523095127 0.3515502588812526
0.06720000000000001 63.57912365708405 0.4144087996174193
0.07264000000000001 68.76214860794653 0.4802740911905785
0.07808000000000001 73.9501237084689 0.5445514140202458
0.08352 79.183004 0.609658
0.08896 84.382865 0.698476
0.0944 89.588408 0.796561
0.09984 94.799871 0.905177
0.10528 100.017541 1.025706
0.11072 105.241748 1.159633
0.11616 110.472832 1.306394
0.1216 115.711051 1.466546
0.12704 120.956765 1.643405
0.13248 126.210414 1.839198
0.13792 131.472489 2.056041
0.14336 136.743529 2.296091
0.1488 142.024114 2.561613
0.15424 147.314867 2.855034
0.15968 152.616457 3.178994
0.16512 157.929601 3.536391
0.17056 163.255069 3.930436
0.176 168.593692 4.364698
0.18144 173.946364 4.843159
0.18688 179.314051 5.370249
0.19232 184.697803 5.950887
0.19776 190.098752 6.590496
0.2032 195.518129 7.295007
0.20864 200.95726 8.070827
0.21408 206.41758 8.924789
0.21952 211.900625 9.864051
0.22496 217.408039 10.89597
0.2304 222.941564 12.027932
0.23584 228.503034 13.267161
0.24128 234.09436 14.620507
0.24672 239.717518 16.094236
0.25216 245.374525 17.693836
0.2576 251.067421 19.423857
0.26304 256.798244 21.287802
0.26848 262.56901 23.288071
0.27392 268.38169 25.425965
0.27936 274.238192 27.701738
0.2848 280.140344 30.114699
0.29024 286.089885 32.663332
0.29568 292.088452 35.34544
0.30112 298.137575 38.158287
0.30656 304.238678 41.098743
0.312 310.393072 44.163401
0.31744 316.601966 47.34869
0.32288 322.866461 50.650968
0.32832 329.187561 54.066591
0.33376 335.566178 57.59197
0.3392 342.003134 61.223615
0.34464 348.499172 64.958159
0.35008 355.054956 68.792384
0.35552 361.671085 72.723227
0.36096 368.348089 76.747786
0.3664 375.086445 80.863325
0.37184 381.886571 85.067261
0.37728 388.748839 89.35717
0.38272 395.673576 93.730772
0.38816 402.661069 98.185928
0.3936 409.711566 102.720627
0.39904 416.825283 107.332983
0.40448 424.002404 112.021222
0.40992 431.243086 116.783677
0.41536 438.547458 121.618777
0.4208 445.915629 126.525043
0.42624 453.347685 131.501078
0.43168 460.843691 136.545562
0.43712 468.403697 141.657247
0.44256 476.027735 146.83495
0.448 483.715822 152.077546
0.45344 491.467962 157.383968
0.45888 499.284145 162.753199
0.46432 507.164352 168.184269
0.46976 515.10855 173.676251
0.4752 523.1167 179.22826
0.48064 531.188751 184.839447
0.48608 539.324645 190.508996
0.49152 547.524316 196.236125
0.49696 555.787691 202.020082
0.5024 564.114692 207.860139
0.50784 572.505232 213.755597
0.51328 580.95922 219.705779
0.51872 589.476561 225.710032
0.52416 598.057154 231.76772
0.5296 606.700894 237.87823
0.53504 615.407672 244.040965
0.54048 624.177374 250.255347
0.54592 633.009884 256.52081
0.55136 641.905083 262.836807
0.5568 650.862847 269.202804
0.56224 659.883053 275.618278
0.56768 668.965571 282.082721
0.57312 678.110271 288.595636
0.57856 687.317021 295.156537
0.584 696.585686 301.764949
0.58944 705.91613 308.420406
0.59488 715.308215 315.122452
0.60032 724.761801 321.870641
0.60576 734.276747 328.664535
0.6112 743.852911 335.503705
0.61664 753.490147 342.387727
0.62208 763.188313 349.316188
0.62752 772.947261 356.288681
0.63296 782.766844 363.304805
0.6384 792.646915 370.364168
0.64384 802.587325 377.466381
0.64928 812.587925 384.611064
0.65472 822.648565 391.797841
0.66016 832.769093 399.026344
0.6656 842.949359 406.296208
0.67104 853.189211 413.607075
0.67648 863.488497 420.958592
0.68192 873.847064 428.350411
0.68736 884.26476 435.782187
0.6928 894.741432 443.253583
0.69824 905.276926 450.764263
0.70368 915.871089 458.313899
0.70912 926.523766 465.902166
